Hotel,Location,Star,Price Per Night,Restaurant,Free Breakfast,Pizza,Burger,Table Tennis,Horseback Riding,Bicycle Riding,Board Games,Swimming Pool,Free Cancellation,Free Wifi,Gym,Playstation,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator,Showerchair,Amenities
Boni International Hotel,Jimma,3,"$1,800.00",Restaurant, , , , , , , , , ,Free Wifi, , , ,Children activities,Freetaxiservice, ,Laundryservice,Parkinglot, , , , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  , Children activities, Freetaxiservice,  , Laundryservice, Parkinglot,  ,  ,  ,  , Bathroom,  ,  ,  "
Hotel Dololo,Jimma,4,"$1,200.00",Restaurant, , , , , , , , , ,Free Wifi, , , , , , , ,Parkinglot, , , , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  ,  ,  ,  ,  , Parkinglot,  ,  ,  ,  , Bathroom,  ,  ,  "
Honeyland Hotel,Jimma,2,"$1,450.00",Restaurant, , , , , , , , , , , , , ,Children activities, , , , , , , , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Children activities,  ,  ,  ,  ,  ,  ,  ,  , Bathroom,  ,  ,  "
Coffe Land Hotel,Jimma,3,"$1,235.00",Restaurant, , , , , , , , , , , , , ,Children activities, ,Atm onsite,Laundryservice,Parkinglot,Television, , , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Children activities,  , Atm onsite, Laundryservice, Parkinglot, Television,  ,  ,  , Bathroom,  ,  ,  "
Abebech Metafaria Hotel,Ambo,2,"$1,000.00",Restaurant, , , , , , , , , ,Free Wifi, , , ,Children activities, , , ,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  , Children activities,  ,  ,  , Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
Haile Hotel,Shashamane,4,"$1,400.00",Restaurant, , , , , , , , , ,Free Wifi, , ,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed, , ,Bathroom,Telephone, , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  , Cctv camera, Children activities, Freetaxiservice, Atm onsite, Laundryservice, Parkinglot, Television, Doublebed,  ,  , Bathroom, Telephone,  ,  "
Shashemene Rift Valley Hotel,Shashamane,4,"$1,300.00",Restaurant,, , , , , , ,Swimming Pool, ,Free Wifi, , ,Cctv camera,Children activities,Freetaxiservice,Atm onsite, ,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant, ,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi,  ,  , Cctv camera, Children activities, Freetaxiservice, Atm onsite,  , Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
Zion Train Lodge,Shashamane,4,"$1,350.00",Restaurant, , , ,Table Tennis,Horseback Riding,Bicycle Riding,Board Games,Swimming Pool,Free Cancellation,Free Wifi, , , ,Children activities,Freetaxiservice, ,Laundryservice,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant,  ,  ,  , Table Tennis, Horseback Riding, Bicycle Riding, Board Games, Swimming Pool, Free Cancellation, Free Wifi,  ,  ,  , Children activities, Freetaxiservice,  , Laundryservice, Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
Haile  Resort Hawasa,Hawassa,5,"$3,598.00",Restaurant,Free Breakfast, , ,Table Tennis, , , ,Swimming Pool,Free Cancellation,Free Wifi,Gym, ,Cctv camera,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed, ,Airconditioner,Bathroom, ,Refrigerator, ,"Restaurant, Free Breakfast,  ,  , Table Tennis,  ,  ,  , Swimming Pool, Free Cancellation, Free Wifi, Gym,  , Cctv camera, Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed,  , Airconditioner, Bathroom,  , Refrigerator,  "
South Star International Hotel,Hawassa,4,"$2,193.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool,Free Cancellation,Free Wifi, , , ,Children activities, , ,Laundryservice,Parkinglot, ,Doublebed, , ,Bathroom, , , ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool, Free Cancellation, Free Wifi,  ,  ,  , Children activities,  ,  , Laundryservice, Parkinglot,  , Doublebed,  ,  , Bathroom,  ,  ,  "
United Africa Group,Hawassa,3,"$1,989.00",Restaurant, ,Pizza, ,Table Tennis, ,Bicycle Riding,Board Games,Swimming Pool, ,Free Wifi, , , ,Children activities, , , ,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone, ,Showerchair,"Restaurant,  , Pizza,  , Table Tennis,  , Bicycle Riding, Board Games, Swimming Pool,  , Free Wifi,  ,  ,  , Children activities,  ,  ,  , Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone,  , Showerchair"
Hawassa Oasis International Hotel,Hawassa,4,"$2,141.00",Restaurant,Free Breakfast,Pizza,Burger, , , , ,Swimming Pool,Free Cancellation,Free Wifi, ,Playstation,Cctv camera,Children activities, , , ,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, , , ,"Restaurant, Free Breakfast, Pizza, Burger,  ,  ,  ,  , Swimming Pool, Free Cancellation, Free Wifi,  , Playstation, Cctv camera, Children activities,  ,  ,  , Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  ,  ,  "
Central Hawassa Hotel,Hawassa,2,"$1,632.00",Restaurant, ,Pizza, , , , , , , ,Free Wifi, , , , , ,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, , ,Showerchair,"Restaurant,  , Pizza,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  ,  ,  , Atm onsite, Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  ,  , Showerchair"
